token	corpus size	all contexts size	frequency	co-frequency	specificity
de	15679	15258	546	544	4.49
Le	15679	15258	209	209	2.49
des	15679	15258	171	171	2.03
la	15679	15258	388	384	1.88
pas	15679	15258	157	157	1.87
du	15679	15258	271	269	1.77
le	15679	15258	507	500	1.71
est	15679	15258	349	345	1.59
et	15679	15258	394	389	1.58
’	15679	15258	547	538	1.46
originel	15679	15258	118	118	1.40
que	15679	15258	173	172	1.37
sont	15679	15258	110	110	1.30
capitaux	15679	15258	109	109	1.29
a	15679	15258	107	107	1.27
les	15679	15258	290	286	1.21
ne	15679	15258	96	96	1.14
un	15679	15258	189	187	1.11
n	15679	15258	92	92	1.09
il	15679	15258	82	82	0.97
à	15679	15258	168	166	0.96
Les	15679	15258	79	79	0.94
plus	15679	15258	78	78	0.92
une	15679	15258	122	121	0.92
Dieu	15679	15258	74	74	0.88
7	15679	15258	71	71	0.84
contre	15679	15258	65	65	0.77
d	15679	15258	136	134	0.76
comme	15679	15258	61	61	0.72
dans	15679	15258	134	131	0.67
par	15679	15258	89	88	0.66
Péché	15679	15258	131	128	0.66
nous	15679	15258	51	51	0.60
capital	15679	15258	51	51	0.60
autres	15679	15258	50	50	0.59
La	15679	15258	49	49	0.58
structures	15679	15258	49	49	0.58
pour	15679	15258	80	78	0.56
monde	15679	15258	44	44	0.52
sur	15679	15258	43	43	0.51
mortel	15679	15258	40	40	0.47
tout	15679	15258	39	39	0.46
tous	15679	15258	39	39	0.46
liste	15679	15258	39	39	0.46
c	15679	15258	37	37	0.44
mort	15679	15258	36	36	0.43
celui	15679	15258	35	35	0.41
se	15679	15258	34	34	0.40
donc	15679	15258	33	33	0.39
aussi	15679	15258	33	33	0.39
ces	15679	15258	32	32	0.38
grand	15679	15258	32	32	0.38
commis	15679	15258	31	31	0.37
y	15679	15258	31	31	0.37
Il	15679	15258	30	30	0.35
grave	15679	15258	30	30	0.35
collectif	15679	15258	30	30	0.35
être	15679	15258	29	29	0.34
son	15679	15258	28	28	0.33
peut	15679	15258	27	27	0.32
cette	15679	15258	27	27	0.32
ils	15679	15258	27	27	0.32
avec	15679	15258	24	24	0.28
nature	15679	15258	24	24	0.28
mal	15679	15258	24	24	0.28
politique	15679	15258	24	24	0.28
selon	15679	15258	24	24	0.28
responsabilité	15679	15258	24	24	0.28
Un	15679	15258	23	23	0.27
hommes	15679	15258	22	22	0.26
même	15679	15258	22	22	0.26
si	15679	15258	22	22	0.26
n'est	15679	15258	22	22	0.26
nos	15679	15258	21	21	0.25
notre	15679	15258	21	21	0.25
orgueil	15679	15258	21	21	0.25
nouveaux	15679	15258	21	21	0.25
mineurs	15679	15258	21	21	0.25
est-ce	15679	15258	20	20	0.24
Qu	15679	15258	19	19	0.22
notion	15679	15258	19	19	0.22
bien	15679	15258	18	18	0.21
Saint-Esprit	15679	15258	18	18	0.21
ont	15679	15258	18	18	0.21
été	15679	15258	18	18	0.21
majeurs	15679	15258	18	18	0.21
L	15679	15258	17	17	0.20
graves	15679	15258	17	17	0.20
Jésus	15679	15258	17	17	0.20
ses	15679	15258	17	17	0.20
grands	15679	15258	17	17	0.20
vient	15679	15258	16	16	0.19
car	15679	15258	16	16	0.19
effets	15679	15258	16	16	0.19
souvent	15679	15258	16	16	0.19
commet	15679	15258	16	16	0.19
aux	15679	15258	16	16	0.19
définition	15679	15258	16	16	0.19
”	15679	15258	16	16	0.19
–	15679	15258	15	15	0.18
sept	15679	15258	15	15	0.18
sa	15679	15258	15	15	0.18
mis	15679	15258	15	15	0.18
voir	15679	15258	14	14	0.17
non	15679	15258	14	14	0.17
véniel	15679	15258	14	14	0.17
hui	15679	15258	14	14	0.17
peuvent	15679	15258	14	14	0.17
structure	15679	15258	14	14	0.17
On	15679	15258	13	13	0.15
état	15679	15258	13	13	0.15
toute	15679	15258	13	13	0.15
vie	15679	15258	13	13	0.15
homme	15679	15258	13	13	0.15
social	15679	15258	13	13	0.15
C	15679	15258	13	13	0.15
combattre	15679	15258	12	12	0.14
profité	15679	15258	12	12	0.14
actuel	15679	15258	12	12	0.14
régnant	15679	15258	12	12	0.14
De	15679	15258	12	12	0.14
tels	15679	15258	12	12	0.14
moi	15679	15258	12	12	0.14
personne	15679	15258	12	12	0.14
faire	15679	15258	12	12	0.14
Structures	15679	15258	12	12	0.14
structurel	15679	15258	12	12	0.14
Coran	15679	15258	12	12	0.14
Islam	15679	15258	12	12	0.14
mineur	15679	15258	12	12	0.14
après	15679	15258	12	12	0.14
siècles	15679	15258	12	12	0.14
Dans	15679	15258	11	11	0.13
deux	15679	15258	11	11	0.13
catholicisme	15679	15258	11	11	0.13
humaine	15679	15258	11	11	0.13
manière	15679	15258	11	11	0.13
premier	15679	15258	11	11	0.13
Pour	15679	15258	11	11	0.13
vous	15679	15258	11	11	0.13
définitions	15679	15258	11	11	0.13
dernier	15679	15258	11	11	0.13
très	15679	15258	11	11	0.13
Mais	15679	15258	11	11	0.13
grâce	15679	15258	10	10	0.12
seul	15679	15258	10	10	0.12
autre	15679	15258	10	10	0.12
Église	15679	15258	10	10	0.12
tradition	15679	15258	10	10	0.12
islam	15679	15258	10	10	0.12
lui	15679	15258	10	10	0.12
elle	15679	15258	10	10	0.12
je	15679	15258	10	10	0.12
spirituelle	15679	15258	10	10	0.12
ai	15679	15258	10	10	0.12
Hadiths	15679	15258	10	10	0.12
différents	15679	15258	9	9	0.11
conscience	15679	15258	9	9	0.11
cause	15679	15258	9	9	0.11
parle	15679	15258	9	9	0.11
doit	15679	15258	9	9	0.11
Quels	15679	15258	9	9	0.11
toujours	15679	15258	9	9	0.11
pensée	15679	15258	9	9	0.11
catholique	15679	15258	9	9	0.11
jour	15679	15258	9	9	0.11
leurs	15679	15258	9	9	0.11
Quel	15679	15258	9	9	0.11
notamment	15679	15258	9	9	0.11
faute	15679	15258	9	9	0.11
François	15679	15258	9	9	0.11
avant	15679	15258	9	9	0.11
faut	15679	15258	9	9	0.11
majeur	15679	15258	9	9	0.11
aujourd	15679	15258	9	9	0.11
auteur	15679	15258	9	9	0.11
aucun	15679	15258	9	9	0.11
plutôt	15679	15258	9	9	0.11
effectif	15679	15258	9	9	0.11
types	15679	15258	8	8	0.09
Heidelberg	15679	15258	8	8	0.09
laquelle	15679	15258	8	8	0.09
pécheur	15679	15258	8	8	0.09
Saint	15679	15258	8	8	0.09
distinction	15679	15258	8	8	0.09
appelle	15679	15258	8	8	0.09
pardon	15679	15258	8	8	0.09
omission	15679	15258	8	8	0.09
commettre	15679	15258	8	8	0.09
foi	15679	15258	8	8	0.09
sans	15679	15258	8	8	0.09
actuels	15679	15258	8	8	0.09
mènent	15679	15258	8	8	0.09
christianisme	15679	15258	8	8	0.09
entraîne	15679	15258	8	8	0.09
première	15679	15258	8	8	0.09
conséquences	15679	15258	8	8	0.09
soit	15679	15258	8	8	0.09
vu	15679	15258	8	8	0.09
source	15679	15258	8	8	0.09
catholiques	15679	15258	8	8	0.09
quoi	15679	15258	8	8	0.09
Bible	15679	15258	8	8	0.09
Royaume	15679	15258	8	8	0.09
d'un	15679	15258	8	8	0.09
EELV	15679	15258	8	8	0.09
tenir	15679	15258	7	7	0.08
véniels	15679	15258	7	7	0.08
toutes	15679	15258	7	7	0.08
avons	15679	15258	7	7	0.08
connaissance	15679	15258	7	7	0.08
éviter	15679	15258	7	7	0.08
elles	15679	15258	7	7	0.08
Du	15679	15258	7	7	0.08
racine	15679	15258	7	7	0.08
confesser	15679	15258	7	7	0.08
catégorie	15679	15258	7	7	0.08
atteint	15679	15258	7	7	0.08
Comment	15679	15258	7	7	0.08
amour	15679	15258	7	7	0.08
mortels	15679	15258	7	7	0.08
où	15679	15258	7	7	0.08
Article	15679	15258	7	7	0.08
doctrine	15679	15258	7	7	0.08
Ainsi	15679	15258	7	7	0.08
gravité	15679	15258	7	7	0.08
appartient	15679	15258	7	7	0.08
lequel	15679	15258	7	7	0.08
morale	15679	15258	7	7	0.08
Troisième	15679	15258	7	7	0.08
détaillé	15679	15258	7	7	0.08
Flux	15679	15258	6	6	0.07
commentaires	15679	15258	6	6	0.07
actions	15679	15258	6	6	0.07
forme	15679	15258	6	6	0.07
chute	15679	15258	6	6	0.07
ainsi	15679	15258	6	6	0.07
vérité	15679	15258	6	6	0.07
quelque	15679	15258	6	6	0.07
exemple	15679	15258	6	6	0.07
impardonnable	15679	15258	6	6	0.07
punit	15679	15258	6	6	0.07
accident	15679	15258	6	6	0.07
propre	15679	15258	6	6	0.07
concernant	15679	15258	6	6	0.07
tu	15679	15258	6	6	0.07
Celui	15679	15258	6	6	0.07
également	15679	15258	6	6	0.07
rédemption	15679	15258	6	6	0.07
pardonner	15679	15258	6	6	0.07
tant	15679	15258	6	6	0.07
définit	15679	15258	6	6	0.07
humanité	15679	15258	6	6	0.07
péché^	15679	15258	6	6	0.07
sociale	15679	15258	6	6	0.07
↑	15679	15258	6	6	0.07
Mathias	15679	15258	6	6	0.07
Nebel	15679	15258	6	6	0.07
2010	15679	15258	6	6	0.07
p	15679	15258	6	6	0.07
Au	15679	15258	6	6	0.07
théologie	15679	15258	6	6	0.07
puis	15679	15258	6	6	0.07
Je	15679	15258	6	6	0.07
rappelle	15679	15258	6	6	0.07
j	15679	15258	6	6	0.07
Allah	15679	15258	6	6	0.07
destructeur	15679	15258	6	6	0.07
parmi	15679	15258	6	6	0.07
Evrage	15679	15258	6	6	0.07
Voici	15679	15258	6	6	0.07
Thomas	15679	15258	6	6	0.07
Aquin	15679	15258	6	6	0.07
présents	15679	15258	6	6	0.07
interprétation	15679	15258	6	6	0.07
rarement	15679	15258	6	6	0.07
découler	15679	15258	6	6	0.07
ambition	15679	15258	6	6	0.07
savoir	15679	15258	6	6	0.07
vertus	15679	15258	6	6	0.07
rapport	15679	15258	6	6	0.07
10	15679	15258	6	6	0.07
me	15679	15258	6	6	0.07
quils	15679	15258	6	6	0.07
critère	15679	15258	6	6	0.07
transformer	15679	15258	6	6	0.07
partie	15679	15258	6	6	0.07
offense	15679	15258	6	6	0.07
faite	15679	15258	6	6	0.07
tête	15679	15258	6	6	0.07
Voilà	15679	15258	6	6	0.07
manque	15679	15258	6	6	0.07
dont	15679	15258	6	6	0.07
Mort	15679	15258	6	6	0.07
vieux	15679	15258	6	6	0.07
qu'un	15679	15258	6	6	0.07
confiance	15679	15258	6	6	0.07
isolement	15679	15258	6	6	0.07
envers	15679	15258	6	6	0.07
Péchés	15679	15258	6	6	0.07
21	15679	15258	6	6	0.07
moral	15679	15258	6	6	0.07
péchés^	15679	15258	6	6	0.07
parler	15679	15258	5	5	0.06
soient	15679	15258	5	5	0.06
beaucoup	15679	15258	5	5	0.06
appelé	15679	15258	5	5	0.06
cela	15679	15258	5	5	0.06
mérite	15679	15258	5	5	0.06
trouve	15679	15258	5	5	0.06
chaque	15679	15258	5	5	0.06
Ces	15679	15258	5	5	0.06
formes	15679	15258	5	5	0.06
soi	15679	15258	5	5	0.06
exemples	15679	15258	5	5	0.06
dernière	15679	15258	5	5	0.06
lui-même	15679	15258	5	5	0.06
jamais	15679	15258	5	5	0.06
cite	15679	15258	5	5	0.06
Catéchisme	15679	15258	5	5	0.06
chose	15679	15258	5	5	0.06
trois	15679	15258	5	5	0.06
conditions	15679	15258	5	5	0.06
transgression	15679	15258	5	5	0.06
individuels	15679	15258	5	5	0.06
II	15679	15258	5	5	0.06
développe	15679	15258	5	5	0.06
ait	15679	15258	5	5	0.06
subi	15679	15258	5	5	0.06
A	15679	15258	5	5	0.06
sépare	15679	15258	5	5	0.06
véritable	15679	15258	5	5	0.06
compte	15679	15258	5	5	0.06
Aujourd	15679	15258	5	5	0.06
deuxième	15679	15258	5	5	0.06
Son	15679	15258	5	5	0.06
fois	15679	15258	5	5	0.06
1	15679	15258	5	5	0.06
font	15679	15258	5	5	0.06
côté	15679	15258	5	5	0.06
Aucun	15679	15258	5	5	0.06
problème	15679	15258	5	5	0.06
vivre	15679	15258	5	5	0.06
moins	15679	15258	5	5	0.06
mot	15679	15258	5	5	0.06
temps	15679	15258	5	5	0.06
prêtre	15679	15258	5	5	0.06
vertu	15679	15258	5	5	0.06
xvi^e-xx^e	15679	15258	5	5	0.06
enfer	15679	15258	5	5	0.06
xvie-xxe	15679	15258	5	5	0.06
In	15679	15258	5	5	0.06
mauvaise	15679	15258	5	5	0.06
appuyer	15679	15258	4	4	0.05
livre	15679	15258	4	4	0.05
Q7	15679	15258	4	4	0.05
Après	15679	15258	4	4	0.05
inclut	15679	15258	4	4	0.05
loi	15679	15258	4	4	0.05
Par	15679	15258	4	4	0.05
entendons	15679	15258	4	4	0.05
déploré	15679	15258	4	4	0.05
Que	15679	15258	4	4	0.05
règne	15679	15258	4	4	0.05
votre	15679	15258	4	4	0.05
corps	15679	15258	4	4	0.05
ignorance	15679	15258	4	4	0.05
infirmité	15679	15258	4	4	0.05
fais	15679	15258	4	4	0.05
habite	15679	15258	4	4	0.05
jusqu	15679	15258	4	4	0.05
sorte	15679	15258	4	4	0.05
crimes	15679	15258	4	4	0.05
subséquents	15679	15258	4	4	0.05
précédents	15679	15258	4	4	0.05
Paul	15679	15258	4	4	0.05
enseigne	15679	15258	4	4	0.05
réels	15679	15258	4	4	0.05
infligé	15679	15258	4	4	0.05
éternelle	15679	15258	4	4	0.05
conséquence	15679	15258	4	4	0.05
incapacité	15679	15258	4	4	0.05
rattrapé	15679	15258	4	4	0.05
Israël	15679	15258	4	4	0.05
compris	15679	15258	4	4	0.05
équivalents	15679	15258	4	4	0.05
seulement	15679	15258	4	4	0.05
habitude	15679	15258	4	4	0.05
gourmandise	15679	15258	4	4	0.05
pris	15679	15258	4	4	0.05
versus	15679	15258	4	4	0.05
valent	15679	15258	4	4	0.05
conduire	15679	15258	4	4	0.05
suivantes	15679	15258	4	4	0.05
•	15679	15258	4	4	0.05
importance	15679	15258	4	4	0.05
lorsque	15679	15258	4	4	0.05
alternate	15679	15258	4	4	0.05
payant	15679	15258	4	4	0.05
judaïsme	15679	15258	4	4	0.05
était	15679	15258	4	4	0.05
entré	15679	15258	4	4	0.05
chair	15679	15258	4	4	0.05
lien	15679	15258	4	4	0.05
appelées	15679	15258	4	4	0.05
inhérent	15679	15258	4	4	0.05
l'Homme	15679	15258	4	4	0.05
inéluctable	15679	15258	4	4	0.05
individuel	15679	15258	4	4	0.05
accumulation	15679	15258	4	4	0.05
affirme	15679	15258	4	4	0.05
puissance	15679	15258	4	4	0.05
effet	15679	15258	4	4	0.05
vue	15679	15258	4	4	0.05
structurels	15679	15258	4	4	0.05
épanouissement	15679	15258	4	4	0.05
Pourquoi	15679	15258	4	4	0.05
d'arrogance	15679	15258	4	4	0.05
Blessure	15679	15258	4	4	0.05
Monde	15679	15258	4	4	0.05
histoire	15679	15258	4	4	0.05
Mortel	15679	15258	4	4	0.05
Véniel	15679	15258	4	4	0.05
meurt	15679	15258	4	4	0.05
acte	15679	15258	4	4	0.05
sincère	15679	15258	4	4	0.05
État	15679	15258	4	4	0.05
réel	15679	15258	4	4	0.05
vaincu	15679	15258	4	4	0.05
Ceux	15679	15258	4	4	0.05
remettrez	15679	15258	4	4	0.05
seront	15679	15258	4	4	0.05
nouvelle	15679	15258	4	4	0.05
événement	15679	15258	4	4	0.05
religieuse	15679	15258	4	4	0.05
Et	15679	15258	4	4	0.05
lors	15679	15258	4	4	0.05
création	15679	15258	4	4	0.05
moderne	15679	15258	4	4	0.05
vices	15679	15258	4	4	0.05
introduit	15679	15258	4	4	0.05
Trois	15679	15258	4	4	0.05
quel	15679	15258	4	4	0.05
veut	15679	15258	4	4	0.05
abord	15679	15258	4	4	0.05
considérer	15679	15258	4	4	0.05
choisi	15679	15258	4	4	0.05
celle	15679	15258	4	4	0.05
conçu	15679	15258	4	4	0.05
excellence	15679	15258	4	4	0.05
personnel	15679	15258	4	4	0.05
rester	15679	15258	4	4	0.05
Or	15679	15258	4	4	0.05
Évangile	15679	15258	4	4	0.05
initiative	15679	15258	4	4	0.05
voyons	15679	15258	4	4	0.05
Premier	15679	15258	4	4	0.05
Deuxième	15679	15258	4	4	0.05
Quatrième	15679	15258	4	4	0.05
L'avarice	15679	15258	4	4	0.05
Cinquième	15679	15258	4	4	0.05
Sixième	15679	15258	4	4	0.05
Septième	15679	15258	4	4	0.05
Huitième	15679	15258	4	4	0.05
l'orgueil	15679	15258	4	4	0.05
considéré	15679	15258	4	4	0.05
paresse	15679	15258	4	4	0.05
protestante	15679	15258	4	4	0.05
Tribune	15679	15258	4	4	0.05
lieu	15679	15258	4	4	0.05
volontaire	15679	15258	4	4	0.05
institutionnalisé	15679	15258	4	4	0.05
III	15679	15258	4	4	0.05
IV	15679	15258	4	4	0.05
christologie	15679	15258	4	4	0.05
théologique	15679	15258	4	4	0.05
Reproche	15679	15258	4	4	0.05
Aïvo	15679	15258	4	4	0.05
Madougou	15679	15258	4	4	0.05
Patrice	15679	15258	4	4	0.05
Talon	15679	15258	4	4	0.05
jugement	15679	15258	4	4	0.05
moulin	15679	15258	4	4	0.05
C'est	15679	15258	4	4	0.05
Biden	15679	15258	4	4	0.05
l'Église	15679	15258	4	4	0.05
13e	15679	15258	4	4	0.05
Yannick	15679	15258	4	4	0.05
Jadot	15679	15258	4	4	0.05
mercredi	15679	15258	4	4	0.05
5	15679	15258	4	4	0.05
juin	15679	15258	4	4	0.05
dissolution	15679	15258	4	4	0.05
d'ordre	15679	15258	4	4	0.05
libéralisme	15679	15258	3	3	0.04
d'autres	15679	15258	3	3	0.04
sous	15679	15258	3	3	0.04
Esprit	15679	15258	3	3	0.04
quelques	15679	15258	3	3	0.04
description	15679	15258	3	3	0.04
coupables	15679	15258	3	3	0.04
œuvre	15679	15258	3	3	0.04
naissent	15679	15258	3	3	0.04
mauvais	15679	15258	3	3	0.04
matière	15679	15258	3	3	0.04
fruit	15679	15258	3	3	0.04
3	15679	15258	3	3	0.04
4	15679	15258	3	3	0.04
refus	15679	15258	3	3	0.04
part	15679	15258	3	3	0.04
enlève	15679	15258	3	3	0.04
libéral	15679	15258	3	3	0.04
Jean-Paul	15679	15258	3	3	0.04
plein	15679	15258	3	3	0.04
—	15679	15258	3	3	0.04
Eglise	15679	15258	3	3	0.04
Raï	15679	15258	3	3	0.04
Liban	15679	15258	3	3	0.04
paroxysme	15679	15258	3	3	0.04
lumière	15679	15258	3	3	0.04
Une	15679	15258	3	3	0.04
simple	15679	15258	3	3	0.04
salut	15679	15258	3	3	0.04
Effets	15679	15258	3	3	0.04
propos	15679	15258	3	3	0.04
Vivre	15679	15258	3	3	0.04
récemment	15679	15258	3	3	0.04
annoncé	15679	15258	3	3	0.04
reflétant	15679	15258	3	3	0.04
énoncer	15679	15258	3	3	0.04
rare	15679	15258	3	3	0.04
ecclésiastique	15679	15258	3	3	0.04
cas	15679	15258	3	3	0.04
voici	15679	15258	3	3	0.04
certaine	15679	15258	3	3	0.04
culture	15679	15258	3	3	0.04
utilisée	15679	15258	3	3	0.04
synodalité	15679	15258	3	3	0.04
Alexandra	15679	15258	3	3	0.04
décidés	15679	15258	3	3	0.04
contemporain	15679	15258	3	3	0.04
conseillé	15679	15258	3	3	0.04
ajouter	15679	15258	3	3	0.04
évoluent	15679	15258	3	3	0.04
choquent	15679	15258	3	3	0.04
désormais	15679	15258	3	3	0.04
évoluer	15679	15258	3	3	0.04
société	15679	15258	3	3	0.04
mentionnés	15679	15258	3	3	0.04
parlons	15679	15258	3	3	0.04
