token	corpus size	all contexts size	frequency	co-frequency	specificity
w	9725	9625	219	219	0.99
jest	9725	9625	180	180	0.82
i	9725	9625	191	190	0.56
„	9725	9625	116	116	0.52
się	9725	9625	113	113	0.51
nie	9725	9625	153	152	0.48
do	9725	9625	105	105	0.47
”	9725	9625	103	103	0.46
z	9725	9625	130	129	0.45
to	9725	9625	98	98	0.44
na	9725	9625	94	94	0.42
że	9725	9625	87	87	0.39
–	9725	9625	81	81	0.37
za	9725	9625	75	75	0.34
o	9725	9625	69	69	0.31
a	9725	9625	59	59	0.27
jako	9725	9625	46	46	0.21
są	9725	9625	40	40	0.18
od	9725	9625	37	37	0.17
czy	9725	9625	36	36	0.16
jak	9725	9625	34	34	0.15
Czy	9725	9625	34	34	0.15
ciężki	9725	9625	33	33	0.15
przez	9725	9625	33	33	0.15
ale	9725	9625	31	31	0.14
lub	9725	9625	29	29	0.13
jego	9725	9625	28	28	0.13
które	9725	9625	27	27	0.12
pierworodny	9725	9625	27	27	0.12
Dzieje	9725	9625	26	26	0.12
głównych	9725	9625	25	25	0.11
ma	9725	9625	24	24	0.11
W	9725	9625	24	24	0.11
tylko	9725	9625	23	23	0.10
być	9725	9625	23	23	0.10
śmiertelny	9725	9625	23	23	0.10
który	9725	9625	22	22	0.10
także	9725	9625	22	22	0.10
człowieka	9725	9625	21	21	0.09
lekki	9725	9625	21	21	0.09
ciężkim	9725	9625	21	21	0.09
może	9725	9625	21	21	0.09
po	9725	9625	21	21	0.09
więc	9725	9625	20	20	0.09
innych	9725	9625	19	19	0.09
Bóg	9725	9625	19	19	0.09
nawet	9725	9625	18	18	0.08
pierworodnego	9725	9625	18	18	0.08
tym	9725	9625	17	17	0.08
Boga	9725	9625	16	16	0.07
Kościoła	9725	9625	16	16	0.07
już	9725	9625	16	16	0.07
człowiek	9725	9625	15	15	0.07
grzechami	9725	9625	14	14	0.06
bez	9725	9625	14	14	0.06
nas	9725	9625	14	14	0.06
zawsze	9725	9625	14	14	0.06
każdy	9725	9625	14	14	0.06
ten	9725	9625	14	14	0.06
—	9725	9625	14	14	0.06
tak	9725	9625	13	13	0.06
dla	9725	9625	13	13	0.06
Dziejów	9725	9625	13	13	0.06
jakie	9725	9625	13	13	0.06
ciężkiego	9725	9625	13	13	0.06
powszedni	9725	9625	13	13	0.06
sposób	9725	9625	13	13	0.06
lecz	9725	9625	12	12	0.05
między	9725	9625	12	12	0.05
Kościół	9725	9625	12	12	0.05
Co	9725	9625	12	12	0.05
sztuce	9725	9625	12	12	0.05
tego	9725	9625	12	12	0.05
europejskiej	9725	9625	12	12	0.05
SXVI	9725	9625	12	12	0.05
jednak	9725	9625	11	11	0.05
można	9725	9625	11	11	0.05
nienawidzi	9725	9625	11	11	0.05
również	9725	9625	11	11	0.05
te	9725	9625	10	10	0.04
będzie	9725	9625	10	10	0.04
go	9725	9625	10	10	0.04
należy	9725	9625	10	10	0.04
według	9725	9625	10	10	0.04
też	9725	9625	10	10	0.04
czyli	9725	9625	10	10	0.04
istnieje	9725	9625	10	10	0.04
nieczystości	9725	9625	10	10	0.04
kulturze	9725	9625	10	10	0.04
mówi	9725	9625	10	10	0.04
by	9725	9625	10	10	0.04
bo	9725	9625	9	9	0.04
pojęcie	9725	9625	9	9	0.04
przeciw	9725	9625	9	9	0.04
przed	9725	9625	9	9	0.04
ze	9725	9625	9	9	0.04
jeśli	9725	9625	9	9	0.04
stanie	9725	9625	9	9	0.04
oznacza	9725	9625	9	9	0.04
czyn	9725	9625	9	9	0.04
spowiedzi	9725	9625	9	9	0.04
tych	9725	9625	9	9	0.04
nim	9725	9625	9	9	0.04
znaczeniu	9725	9625	9	9	0.04
mój	9725	9625	9	9	0.04
ciężkie	9725	9625	8	8	0.04
wszystkich	9725	9625	8	8	0.04
sobie	9725	9625	8	8	0.04
Grzechem	9725	9625	8	8	0.04
To	9725	9625	8	8	0.04
Żeromskiego	9725	9625	8	8	0.04
główne	9725	9625	8	8	0.04
każdego	9725	9625	8	8	0.04
Jest	9725	9625	8	8	0.04
śmierć	9725	9625	8	8	0.04
lekkich	9725	9625	8	8	0.04
Kiedy	9725	9625	8	8	0.04
oraz	9725	9625	8	8	0.04
nieczysty	9725	9625	8	8	0.04
społecznego	9725	9625	8	8	0.04
↑	9725	9625	8	8	0.04
SW	9725	9625	8	8	0.04
SWil	9725	9625	8	8	0.04
którego	9725	9625	7	7	0.03
była	9725	9625	7	7	0.03
żal	9725	9625	7	7	0.03
gdyż	9725	9625	7	7	0.03
przeciwko	9725	9625	7	7	0.03
ich	9725	9625	7	7	0.03
Stefana	9725	9625	7	7	0.03
Nie	9725	9625	7	7	0.03
pojęcia	9725	9625	7	7	0.03
zła	9725	9625	7	7	0.03
różnice	9725	9625	7	7	0.03
konsekwencje	9725	9625	7	7	0.03
duchowe	9725	9625	7	7	0.03
lekkim	9725	9625	7	7	0.03
Jan	9725	9625	7	7	0.03
Jakie	9725	9625	7	7	0.03
śmiertelnego	9725	9625	7	7	0.03
która	9725	9625	7	7	0.03
Jak	9725	9625	7	7	0.03
mogą	9725	9625	7	7	0.03
siedem	9725	9625	7	7	0.03
jej	9725	9625	7	7	0.03
antykoncepcja	9725	9625	7	7	0.03
1	9725	9625	7	7	0.03
osób	9725	9625	7	7	0.03
części	9725	9625	7	7	0.03
cudzych	9725	9625	7	7	0.03
Pojęcie	9725	9625	6	6	0.03
myśl	9725	9625	6	6	0.03
nad	9725	9625	6	6	0.03
myśli	9725	9625	6	6	0.03
on	9725	9625	6	6	0.03
A	9725	9625	6	6	0.03
je	9725	9625	6	6	0.03
życia	9725	9625	6	6	0.03
którą	9725	9625	6	6	0.03
wieku	9725	9625	6	6	0.03
Czym	9725	9625	6	6	0.03
dlaczego	9725	9625	6	6	0.03
warunki	9725	9625	6	6	0.03
miłość	9725	9625	6	6	0.03
mówić	9725	9625	6	6	0.03
był	9725	9625	6	6	0.03
ciężaru	9725	9625	6	6	0.03
gdy	9725	9625	6	6	0.03
tej	9725	9625	6	6	0.03
jednej	9725	9625	6	6	0.03
poprzez	9725	9625	6	6	0.03
duchową	9725	9625	6	6	0.03
skutków	9725	9625	6	6	0.03
dusza	9725	9625	6	6	0.03
inaczej	9725	9625	6	6	0.03
powieści	9725	9625	6	6	0.03
im	9725	9625	6	6	0.03
współczesnej	9725	9625	6	6	0.03
zły	9725	9625	6	6	0.03
popełniony	9725	9625	6	6	0.03
rodzaju	9725	9625	6	6	0.03
4	9725	9625	6	6	0.03
były	9725	9625	6	6	0.03
nasze	9725	9625	6	6	0.03
obrazy	9725	9625	6	6	0.03
jednostki	9725	9625	6	6	0.03
osoby	9725	9625	6	6	0.03
zło	9725	9625	5	5	0.02
pychy	9725	9625	5	5	0.02
natury	9725	9625	5	5	0.02
tam	9725	9625	5	5	0.02
woli	9725	9625	5	5	0.02
brak	9725	9625	5	5	0.02
swoich	9725	9625	5	5	0.02
nigdy	9725	9625	5	5	0.02
pytanie	9725	9625	5	5	0.02
musi	9725	9625	5	5	0.02
często	9725	9625	5	5	0.02
lekkiego	9725	9625	5	5	0.02
wielu	9725	9625	5	5	0.02
prawa	9725	9625	5	5	0.02
Katolickiego	9725	9625	5	5	0.02
taki	9725	9625	5	5	0.02
śmierci	9725	9625	5	5	0.02
pełnej	9725	9625	5	5	0.02
wskazuje	9725	9625	5	5	0.02
ocena	9725	9625	5	5	0.02
wymaga	9725	9625	5	5	0.02
pycha	9725	9625	5	5	0.02
prowadzi	9725	9625	5	5	0.02
konsekwencji	9725	9625	5	5	0.02
Bogiem	9725	9625	5	5	0.02
walki	9725	9625	5	5	0.02
przypadku	9725	9625	5	5	0.02
śmiertelnych	9725	9625	5	5	0.02
którzy	9725	9625	5	5	0.02
powszednie	9725	9625	5	5	0.02
spowiedź	9725	9625	5	5	0.02
Dlaczego	9725	9625	5	5	0.02
najbardziej	9725	9625	5	5	0.02
aby	9725	9625	5	5	0.02
całą	9725	9625	5	5	0.02
popełnione	9725	9625	5	5	0.02
Tokarczuk	9725	9625	5	5	0.02
wobec	9725	9625	5	5	0.02
ponieważ	9725	9625	5	5	0.02
Biblia	9725	9625	5	5	0.02
powodu	9725	9625	5	5	0.02
bywa	9725	9625	5	5	0.02
Obrazy	9725	9625	5	5	0.02
jeżeli	9725	9625	5	5	0.02
bowiem	9725	9625	5	5	0.02
pomstę	9725	9625	5	5	0.02
działanie	9725	9625	5	5	0.02
odnosi	9725	9625	5	5	0.02
chrześcijańskiej	9725	9625	5	5	0.02
świata	9725	9625	5	5	0.02
odpowiedzialności	9725	9625	5	5	0.02
kar	9725	9625	5	5	0.02
pierworodnym	9725	9625	5	5	0.02
analogicznym	9725	9625	5	5	0.02
kondycję	9725	9625	5	5	0.02
którym	9725	9625	4	4	0.02
ludzi	9725	9625	4	4	0.02
ciała	9725	9625	4	4	0.02
zrobić	9725	9625	4	4	0.02
7	9725	9625	4	4	0.02
PiS	9725	9625	4	4	0.02
śmiertelnym	9725	9625	4	4	0.02
społeczny	9725	9625	4	4	0.02
popełnionych	9725	9625	4	4	0.02
swoje	9725	9625	4	4	0.02
dlatego	9725	9625	4	4	0.02
czyni	9725	9625	4	4	0.02
znaczenia	9725	9625	4	4	0.02
słabości	9725	9625	4	4	0.02
było	9725	9625	4	4	0.02
alternate	9725	9625	4	4	0.02
Z	9725	9625	4	4	0.02
takie	9725	9625	4	4	0.02
ludzkiego	9725	9625	4	4	0.02
powieść	9725	9625	4	4	0.02
teraz	9725	9625	4	4	0.02
właśnie	9725	9625	4	4	0.02
przecież	9725	9625	4	4	0.02
wszystkie	9725	9625	4	4	0.02
cnota	9725	9625	4	4	0.02
takiego	9725	9625	4	4	0.02
dobrowolne	9725	9625	4	4	0.02
przekroczenie	9725	9625	4	4	0.02
rozróżnienie	9725	9625	4	4	0.02
sprowadza	9725	9625	4	4	0.02
nazywany	9725	9625	4	4	0.02
niszczy	9725	9625	4	4	0.02
II	9725	9625	4	4	0.02
chciwość	9725	9625	4	4	0.02
żalu	9725	9625	4	4	0.02
przy	9725	9625	4	4	0.02
lekkie	9725	9625	4	4	0.02
każdym	9725	9625	4	4	0.02
swoim	9725	9625	4	4	0.02
jednego	9725	9625	4	4	0.02
podczas	9725	9625	4	4	0.02
ciężar	9725	9625	4	4	0.02
walka	9725	9625	4	4	0.02
sobą	9725	9625	4	4	0.02
