token	corpus size	all contexts size	frequency	co-frequency	specificity
つ	179033	30059	1446	1296	818.32
七	179033	30059	1200	1149	812.03
の	179033	30059	9440	2669	180.29
』	179033	30059	928	488	137.03
『	179033	30059	931	487	135.55
｜	179033	30059	188	179	124.80
罪	179033	30059	600	312	86.24
TV	179033	30059	178	142	75.23
アニメ	179033	30059	419	231	70.48
コラボ	179033	30059	125	102	56.06
Origin	179033	30059	87	80	52.83
〈	179033	30059	310	162	45.62
〉	179033	30059	310	160	44.16
天津	179033	30059	48	48	37.21
戒め	179033	30059	67	58	35.05
逆鱗	179033	30059	56	51	33.35
マガメガ	179033	30059	41	41	31.78
審判	179033	30059	59	50	29.38
国津	179033	30059	37	37	28.68
コスプレ	179033	30059	47	43	28.40
sin	179033	30059	42	40	28.23
劇場	179033	30059	105	69	28.14
シリーズ	179033	30059	96	64	26.70
神々	179033	30059	96	63	25.71
憤怒	179033	30059	99	64	25.56
プラス	179033	30059	55	45	25.22
版	179033	30059	197	96	24.46
黙示録	179033	30059	65	49	24.45
スペシャル	179033	30059	44	38	23.09
犯し	179033	30059	45	38	22.36
予兆	179033	30059	45	38	22.36
“	179033	30059	409	151	22.09
公式	179033	30059	102	61	21.81
週刊	179033	30059	59	43	20.57
囚われ人	179033	30059	33	30	19.76
マガジン	179033	30059	64	44	19.41
つつみ	179033	30059	25	25	19.38
紹介	179033	30059	129	67	19.25
」	179033	30059	2146	523	19.23
講談社	179033	30059	105	57	17.68
コミック	179033	30059	81	48	17.11
作品	179033	30059	163	74	16.90
期	179033	30059	154	71	16.70
「	179033	30059	2157	511	16.41
国	179033	30059	75	45	16.38
あみ	179033	30059	21	21	16.28
呪わ	179033	30059	37	29	15.53
サイト	179033	30059	112	56	15.29
少年	179033	30059	91	49	15.14
南	179033	30059	24	22	14.77
CV	179033	30059	26	23	14.65
TGS	179033	30059	35	27	14.19
天	179033	30059	134	61	14.17
ショー	179033	30059	23	21	14.03
降臨	179033	30059	25	22	13.93
天空	179033	30059	51	33	13.57
見放題	179033	30059	26	22	13.20
犯せる	179033	30059	17	17	13.18
復活	179033	30059	140	60	12.54
委員会	179033	30059	23	20	12.49
，	179033	30059	24	20	11.79
怨嗟	179033	30059	33	24	11.73
聖戦	179033	30059	110	49	11.14
四	179033	30059	117	51	11.13
シン	179033	30059	19	17	11.10
製作	179033	30059	51	30	10.87
編集	179033	30059	85	41	10.79
開催	179033	30059	63	34	10.79
新	179033	30059	82	39	10.07
央	179033	30059	57	31	10.02
写真	179033	30059	30	21	9.84
悪魔	179033	30059	79	37	9.37
！	179033	30059	486	135	9.35
鈴木	179033	30059	76	36	9.30
非表示	179033	30059	12	12	9.30
魔王	179033	30059	37	23	9.16
スタート	179033	30059	35	22	8.92
エジンバラ	179033	30059	38	23	8.83
Netflix	179033	30059	30	20	8.82
映画	179033	30059	119	47	8.63
関する	179033	30059	36	22	8.59
背負う	179033	30059	11	11	8.53
小	179033	30059	19	15	8.36
切り替え	179033	30059	13	12	8.27
たち	179033	30059	274	83	7.88
デイズ	179033	30059	10	10	7.75
達	179033	30059	45	24	7.70
対応	179033	30059	18	14	7.68
団員	179033	30059	23	16	7.57
なな	179033	30059	12	11	7.53
ざい	179033	30059	14	12	7.50
順番	179033	30059	24	16	7.17
関連	179033	30059	89	36	7.12
ブック	179033	30059	9	9	6.98
くに	179033	30059	13	11	6.79
犯す	179033	30059	11	10	6.79
重い	179033	30059	11	10	6.79
×	179033	30059	74	31	6.64
さん	179033	30059	132	46	6.59
イベント	179033	30059	64	28	6.53
祓詞	179033	30059	35	19	6.39
団長	179033	30059	14	11	6.20
７	179033	30059	12	10	6.09
カテゴリ	179033	30059	46	22	6.07
畜	179033	30059	10	9	6.05
目次	179033	30059	28	16	5.88
重大	179033	30059	15	11	5.71
乱す	179033	30059	13	10	5.53
おの	179033	30059	7	7	5.42
作品名	179033	30059	7	7	5.42
通称	179033	30059	7	7	5.42
✕	179033	30059	7	7	5.42
本日	179033	30059	21	13	5.41
相姦	179033	30059	11	9	5.39
Pictures	179033	30059	11	9	5.39
光	179033	30059	103	36	5.39
先行	179033	30059	16	11	5.28
書か	179033	30059	16	11	5.28
セブン	179033	30059	16	11	5.28
母	179033	30059	31	16	5.12
源	179033	30059	17	11	4.91
概要	179033	30059	17	11	4.91
一員	179033	30059	12	9	4.87
オープン	179033	30059	26	14	4.82
以下	179033	30059	26	14	4.82
個	179033	30059	10	8	4.71
MBS	179033	30059	6	6	4.65
重さ	179033	30059	6	6	4.65
迷え	179033	30059	6	6	4.65
プロダクション	179033	30059	6	6	4.65
鎮	179033	30059	6	6	4.65
詞	179033	30059	6	6	4.65
解説	179033	30059	30	15	4.63
ク	179033	30059	37	17	4.57
言語	179033	30059	13	9	4.44
復刻	179033	30059	13	9	4.44
ワールド	179033	30059	31	15	4.42
キリスト教	179033	30059	57	22	4.30
大	179033	30059	86	29	4.20
神道	179033	30059	36	16	4.13
穢れ	179033	30059	14	9	4.07
原作	179033	30059	79	27	4.07
終	179033	30059	9	7	4.03
ラジオ	179033	30059	17	10	4.02
ドラゴン	179033	30059	20	11	4.02
漫画	179033	30059	52	20	3.95
見どころ	179033	30059	7	6	3.88
peccatum	179033	30059	5	5	3.87
出で	179033	30059	5	5	3.87
調べる	179033	30059	5	5	3.87
懺悔録	179033	30059	5	5	3.87
祭殿	179033	30059	5	5	3.87
おけ	179033	30059	45	18	3.87
許	179033	30059	12	8	3.82
視聴	179033	30059	28	13	3.70
つい	179033	30059	119	35	3.62
意味	179033	30059	97	30	3.60
＜	179033	30059	33	14	3.45
＞	179033	30059	33	14	3.45
©	179033	30059	26	12	3.43
象徴	179033	30059	37	15	3.41
開始	179033	30059	57	20	3.37
Gd	179033	30059	8	6	3.36
［	179033	30059	8	6	3.36
ディーン	179033	30059	8	6	3.36
正式	179033	30059	20	10	3.28
至る	179033	30059	11	7	3.23
スケジュール	179033	30059	11	7	3.23
P	179033	30059	11	7	3.23
トレーラー	179033	30059	14	8	3.20
具体例	179033	30059	6	5	3.18
太	179033	30059	6	5	3.18
ファースト	179033	30059	6	5	3.18
葦原	179033	30059	6	5	3.18
懺悔	179033	30059	6	5	3.18
動物	179033	30059	24	11	3.17
RPG	179033	30059	43	16	3.13
プンワールド	179033	30059	4	4	3.10
because	179033	30059	4	4	3.10
disabled	179033	30059	4	4	3.10
けもの	179033	30059	4	4	3.10
仆し	179033	30059	4	4	3.10
離散	179033	30059	4	4	3.10
迷い	179033	30059	4	4	3.10
モンスト	179033	30059	4	4	3.10
Tシャツ	179033	30059	4	4	3.10
見る	179033	30059	64	21	3.09
―	179033	30059	40	15	3.02
〜	179033	30059	40	15	3.02
ましょう	179033	30059	18	9	3.01
傲慢	179033	30059	65	21	3.00
秩序	179033	30059	25	11	2.99
活躍	179033	30059	9	6	2.97
関わる	179033	30059	9	6	2.97
膚	179033	30059	15	8	2.95
集結	179033	30059	12	7	2.93
でしょう	179033	30059	80	24	2.86
死	179033	30059	50	17	2.82
子	179033	30059	30	12	2.80
カクヨム	179033	30059	16	8	2.73
最悪	179033	30059	7	5	2.71
いまだ	179033	30059	7	5	2.71
1952	179033	30059	7	5	2.71
第一	179033	30059	7	5	2.71
首座	179033	30059	7	5	2.71
：	179033	30059	821	164	2.70
マルチ	179033	30059	13	7	2.67
起源	179033	30059	13	7	2.67
ショート	179033	30059	10	6	2.65
44	179033	30059	20	9	2.63
状況	179033	30059	20	9	2.63
ま	179033	30059	44	15	2.58
OP	179033	30059	28	11	2.55
東京	179033	30059	32	12	2.54
あ	179033	30059	49	16	2.51
表示	179033	30059	49	16	2.51
オ	179033	30059	5	4	2.48
罪悪	179033	30059	5	4	2.48
犯	179033	30059	5	4	2.48
STAGE	179033	30059	5	4	2.48
ガンディー	179033	30059	5	4	2.48
開催中	179033	30059	5	4	2.48
ポコロンダンジョンズ	179033	30059	5	4	2.48
レンタル	179033	30059	5	4	2.48
La	179033	30059	5	4	2.48
ヒエロニムス	179033	30059	5	4	2.48
前編	179033	30059	21	9	2.46
メンバー	179033	30059	14	7	2.45
指し	179033	30059	14	7	2.45
社会的	179033	30059	14	7	2.45
る	179033	30059	77	22	2.43
それぞれ	179033	30059	29	11	2.42
画像	179033	30059	29	11	2.42
罪人	179033	30059	11	6	2.38
コラボレーション	179033	30059	11	6	2.38
結末	179033	30059	8	5	2.37
Gu	179033	30059	8	5	2.37
oSP	179033	30059	8	5	2.37
背く	179033	30059	8	5	2.37
］	179033	30059	8	5	2.37
中国	179033	30059	8	5	2.37
Seven	179033	30059	8	5	2.37
弾	179033	30059	18	8	2.36
TGA	179033	30059	3	3	2.32
導か	179033	30059	3	3	2.32
とんでも	179033	30059	3	3	2.32
宗教的	179033	30059	3	3	2.32
伝統的	179033	30059	3	3	2.32
秘跡	179033	30059	3	3	2.32
たおし	179033	30059	3	3	2.32
犯せ	179033	30059	3	3	2.32
ミリオン	179033	30059	3	3	2.32
庁	179033	30059	3	3	2.32
罪名	179033	30059	3	3	2.32
許多	179033	30059	3	3	2.32
thumbnail	179033	30059	3	3	2.32
キ	179033	30059	3	3	2.32
CD	179033	30059	3	3	2.32
夢幻	179033	30059	3	3	2.32
ブラウザ	179033	30059	3	3	2.32
サモンズボード	179033	30059	3	3	2.32
ぼく	179033	30059	3	3	2.32
スマッシュ	179033	30059	3	3	2.32
ヴァルキリーコネクト	179033	30059	3	3	2.32
パートナーズ	179033	30059	3	3	2.32
TASY	179033	30059	3	3	2.32
フェルト	179033	30059	3	3	2.32
実質	179033	30059	3	3	2.32
プライム	179033	30059	3	3	2.32
ビデオ	179033	30059	3	3	2.32
–	179033	30059	3	3	2.32
中国語	179033	30059	3	3	2.32
日常	179033	30059	22	9	2.32
って	179033	30059	47	15	2.30
）	179033	30059	1211	228	2.29
と	179033	30059	3313	590	2.27
概念	179033	30059	15	7	2.25
断	179033	30059	15	7	2.25
ED	179033	30059	31	11	2.19
騎士団	179033	30059	27	10	2.18
”	179033	30059	419	86	2.18
学園	179033	30059	12	6	2.16
（	179033	30059	1194	222	2.12
Sins	179033	30059	9	5	2.09
原案	179033	30059	9	5	2.09
スタジオ	179033	30059	9	5	2.09
ひと	179033	30059	32	11	2.09
災	179033	30059	16	7	2.08
mortal	179033	30059	6	4	2.08
至ら	179033	30059	6	4	2.08
grave	179033	30059	6	4	2.08
BOX	179033	30059	6	4	2.08
白猫	179033	30059	6	4	2.08
552	179033	30059	6	4	2.08
公開	179033	30059	83	22	2.08
DVD	179033	30059	28	10	2.07
聖書	179033	30059	41	13	2.06
騎士	179033	30059	251	54	2.03
新作	179033	30059	37	12	2.03
ざる	179033	30059	13	6	1.97
リンク	179033	30059	17	7	1.93
あらすじ	179033	30059	17	7	1.93
カトリック	179033	30059	76	20	1.93
D	179033	30059	21	8	1.93
後編	179033	30059	21	8	1.93
次	179033	30059	57	16	1.91
？	179033	30059	139	32	1.87
記事	179033	30059	129	30	1.85
おすすめ	179033	30059	49	14	1.81
高天原	179033	30059	22	8	1.81
例	179033	30059	14	6	1.81
トーク	179033	30059	14	6	1.81
配信	179033	30059	104	25	1.81
一節	179033	30059	4	3	1.80
loaded	179033	30059	4	3	1.80
mortale	179033	30059	4	3	1.80
ことがら	179033	30059	4	3	1.80
しょう	179033	30059	4	3	1.80
悔い改め	179033	30059	4	3	1.80
久	179033	30059	4	3	1.80
背負っ	179033	30059	4	3	1.80
つの	179033	30059	4	3	1.80
2008	179033	30059	4	3	1.80
PlayStation	179033	30059	4	3	1.80
指名	179033	30059	4	3	1.80
開幕	179033	30059	4	3	1.80
L	179033	30059	4	3	1.80
2025	179033	30059	157	35	1.80
JavaScript	179033	30059	7	4	1.80
観念	179033	30059	7	4	1.80
⇒	179033	30059	7	4	1.80
串刺	179033	30059	7	4	1.80
機種	179033	30059	7	4	1.80
ポケット	179033	30059	7	4	1.80
大人気	179033	30059	7	4	1.80
オブ	179033	30059	7	4	1.80
そもそも	179033	30059	7	4	1.80
現代	179033	30059	40	12	1.79
者	179033	30059	149	33	1.72
順	179033	30059	23	8	1.71
人気	179033	30059	51	14	1.69
放	179033	30059	11	5	1.69
共同体	179033	30059	11	5	1.69
キャスト	179033	30059	11	5	1.69
巻数	179033	30059	11	5	1.69
探し	179033	30059	11	5	1.69
時系列	179033	30059	11	5	1.69
説明	179033	30059	19	7	1.68
7	179033	30059	245	50	1.67
妨害	179033	30059	15	6	1.67
チャンネル	179033	30059	15	6	1.67
ゲーム	179033	30059	168	36	1.65
制作	179033	30059	57	15	1.63
関係	179033	30059	57	15	1.63
型	179033	30059	24	8	1.61
別	179033	30059	24	8	1.61
アタン	179033	30059	24	8	1.61
約	179033	30059	43	12	1.59
ホーク	179033	30059	48	13	1.58
足り	179033	30059	8	4	1.57
読ん	179033	30059	8	4	1.57
is	179033	30059	8	4	1.57
信頼	179033	30059	8	4	1.57
·	179033	30059	8	4	1.57
悪	179033	30059	20	7	1.57
ジャンル	179033	30059	20	7	1.57
そして	179033	30059	79	19	1.57
アハナチ	179033	30059	2	2	1.55
UP	179033	30059	2	2	1.55
ラクター	179033	30059	2	2	1.55
ガール	179033	30059	2	2	1.55
子役	179033	30059	2	2	1.55
未亡人	179033	30059	2	2	1.55
カ月	179033	30059	2	2	1.55
venial	179033	30059	2	2	1.55
流さ	179033	30059	2	2	1.55
甚だしく	179033	30059	2	2	1.55
國	179033	30059	2	2	1.55
種種	179033	30059	2	2	1.55
くさぐさ	179033	30059	2	2	1.55
ーーーーーーーーーーーーーーーーーーーーー	179033	30059	2	2	1.55
つみ	179033	30059	2	2	1.55
あはなち）	179033	30059	2	2	1.55
みぞうめ）	179033	30059	2	2	1.55
くそへ）	179033	30059	2	2	1.55
ここだく	179033	30059	2	2	1.55
ご存知	179033	30059	2	2	1.55
FES	179033	30059	2	2	1.55
OSwiaXNTdWJkb	179033	30059	2	2	1.55
haW	179033	30059	2	2	1.55
致死	179033	30059	2	2	1.55
移送	179033	30059	2	2	1.55
乏しい	179033	30059	2	2	1.55
刻む	179033	30059	2	2	1.55
凄まじく	179033	30059	2	2	1.55
のはら	179033	30059	2	2	1.55
犯さ	179033	30059	2	2	1.55
ボア	179033	30059	2	2	1.55
グリズリー	179033	30059	2	2	1.55
サーペント	179033	30059	2	2	1.55
ゴート	179033	30059	2	2	1.55
巻き込む	179033	30059	2	2	1.55
団地	179033	30059	2	2	1.55
Ⅲ	179033	30059	2	2	1.55
アカイロ	179033	30059	2	2	1.55
Hana	179033	30059	2	2	1.55
Hope	179033	30059	2	2	1.55
従来	179033	30059	2	2	1.55
続報	179033	30059	2	2	1.55
窺い知る	179033	30059	2	2	1.55
まんが	179033	30059	2	2	1.55
ごっこ	179033	30059	2	2	1.55
アルス	179033	30059	2	2	1.55
ラーン	179033	30059	2	2	1.55
げきじょう	179033	30059	2	2	1.55
秘宝	179033	30059	2	2	1.55
ストーン	179033	30059	2	2	1.55
DeNA	179033	30059	2	2	1.55
コレ	179033	30059	2	2	1.55
ディバイン	179033	30059	2	2	1.55
ゲート	179033	30059	2	2	1.55
フルボッコヒーローズ	179033	30059	2	2	1.55
海賊	179033	30059	2	2	1.55
サムライ	179033	30059	2	2	1.55
リバース	179033	30059	2	2	1.55
エッグ	179033	30059	2	2	1.55
ウォッチ	179033	30059	2	2	1.55
ぷにぷに	179033	30059	2	2	1.55
アイギス	179033	30059	2	2	1.55
セブンズ	179033	30059	2	2	1.55
ガ	179033	30059	2	2	1.55
アルケミスト	179033	30059	2	2	1.55
荒野	179033	30059	2	2	1.55
ボット	179033	30059	2	2	1.55
ブレイドエクスロード	179033	30059	2	2	1.55
KOF	179033	30059	2	2	1.55
ALLSTAR	179033	30059	2	2	1.55
Ver	179033	30059	2	2	1.55
幸奈	179033	30059	2	2	1.55
ふな	179033	30059	2	2	1.55
旗本	179033	30059	2	2	1.55
はぐれ	179033	30059	2	2	1.55
離反	179033	30059	2	2	1.55
責め苦	179033	30059	2	2	1.55
電脳	179033	30059	2	2	1.55
π	179033	30059	2	2	1.55
パイ	179033	30059	2	2	1.55
ラジ	179033	30059	2	2	1.55
TREME	179033	30059	2	2	1.55
今更	179033	30059	2	2	1.55
読み方	179033	30059	2	2	1.55
ユニーク	179033	30059	2	2	1.55
定評	179033	30059	2	2	1.55
バズっ	179033	30059	2	2	1.55
真ん中	179033	30059	2	2	1.55
余裕	179033	30059	2	2	1.55
午前中	179033	30059	2	2	1.55
リプ	179033	30059	2	2	1.55
飼え	179033	30059	2	2	1.55
常時	179033	30059	2	2	1.55
ドンピシャ	179033	30059	2	2	1.55
容	179033	30059	2	2	1.55
ケース	179033	30059	2	2	1.55
おかしい	179033	30059	2	2	1.55
何度	179033	30059	2	2	1.55
開放	179033	30059	2	2	1.55
当てはめ	179033	30059	2	2	1.55
美しき	179033	30059	2	2	1.55
Social	179033	30059	2	2	1.55
Tiānzuì	179033	30059	2	2	1.55
Guózuì	179033	30059	2	2	1.55
Zhèncí	179033	30059	2	2	1.55
当てはめる	179033	30059	2	2	1.55
枢	179033	30059	2	2	1.55
知れ渡っ	179033	30059	2	2	1.55
ー	179033	30059	16	6	1.54
判断	179033	30059	16	6	1.54
告白	179033	30059	12	5	1.53
スサノオノミコト	179033	30059	12	5	1.53
個人	179033	30059	12	5	1.53
講	179033	30059	12	5	1.53
カテゴリー	179033	30059	12	5	1.53
テレビ	179033	30059	96	22	1.53
決定	179033	30059	49	13	1.53
・	179033	30059	1160	196	1.51
行為	179033	30059	65	16	1.50
分	179033	30059	65	16	1.50
これ	179033	30059	147	31	1.49
屎戸	179033	30059	5	3	1.48
英	179033	30059	5	3	1.48
重く	179033	30059	5	3	1.48
意図的	179033	30059	5	3	1.48
ゆるし	179033	30059	5	3	1.48
掟	179033	30059	5	3	1.48
蠱	179033	30059	5	3	1.48
AWA	179033	30059	5	3	1.48
中性的	179033	30059	5	3	1.48
天上	179033	30059	5	3	1.48
ポスター	179033	30059	5	3	1.48
冤罪	179033	30059	5	3	1.48
大冒険	179033	30059	5	3	1.48
宝	179033	30059	5	3	1.48
です	179033	30059	525	95	1.48
種類	179033	30059	21	7	1.48
美徳	179033	30059	40	11	1.48
人	179033	30059	206	41	1.45
地上	179033	30059	26	8	1.44
タイトル	179033	30059	26	8	1.44
Wikipedia	179033	30059	17	6	1.44
こちら	179033	30059	17	6	1.44
ます	179033	30059	658	115	1.44
にて	179033	30059	67	16	1.42
大祓	179033	30059	13	5	1.40
アクション	179033	30059	13	5	1.40
信者	179033	30059	13	5	1.40
む	179033	30059	13	5	1.40
