     10 en	rdc
     10 de	la
      9 grands	lacs
      8 lacs	news
      6 la	représentativité
      6 et	le
      6 après	des
      5 guerre	en
      5 can	2025
      4 venezuela	donald
      4 trump	affirme
      4 nicolas	maduro
      4 monde	après
      4 frappes	aériennes
      4 donald	trump
      4 des	frappes
      4 crise	en
      4 capturé	nicolas
      4 avoir	capturé
      4 au	venezuela
      4 affirme	avoir
      4 aériennes	au
      3 veut	libérer
      3 tunisie	et
      3 tshisekedi	et
