     19 grzech	ciężki
     16 z	bogiem
     11 grzechu	ciężkiego
     11 grzech	lekki
     10 może	być
      9 materii	poważnej
      8 pełnej	świadomości
      8 jakie	są
      8 grzechów	lekkich
      7 w	polskiej
      7 między	grzechem
      7 kościoła	katolickiego
      7 grzechem	ciężkim
      6 w	praktyce
      6 w	pełni
      6 sakrament	pokuty
      6 prowadzi	do
      6 kościół	katolicki
      6 jest	grzech
      6 grzech	śmiertelny
      6 grzech	powszedni
      6 ciężkim	a
      6 całkowitej	dobrowolności
      6 2025	więcejwięcej
      5 życia	duchowego
