      6 sw	sjpdor
      5 grzech	pierworodny
      4 za	grzech
      4 śmiertelny	powszedni
      4 brzydki	jak
      3 w	religii
      3 w	grzechu
      3 sw	swil
      3 się	sxvi
      3 siedem	grzechów
      3 religii	chrześcijańskiej
      3 rel	grzech
      3 raju	ale
      3 rada	by
      3 przez	religię
      3 pomstę	do
      3 pierworodny	śmiertelny
      3 o	pomstę
      3 nie	puszczają
      3 i	dobrowolne
      3 grzechy	nie
      3 grzech	sw
      3 grzech	śmiertelny
      3 grzechów	głównych
      3 dusza	do
