      3 siedem	grzechów
      3 grzechów	głównych
      2 w	sztuce
      2 w	konkursie
      2 odbywa	się
      2 kultury	zagłębia
      2 diecezji	sosnowieckiej
      2 dąbrowy	górniczej
      2 aplikacja	miejska
      1 zwycięzców	poznamy
      1 zwiększ	rozmiar
      1 zobrazować	ich
      1 zobacz	poprzednie
      1 zobacz	dalej
      1 zjawisk	moralnych
      1 zgłoszeniowe	czytaj
      1 zduńskiej	woli
      1 z	całej
      1 z	będzina
      1 zazdrość	nieumiarkowanie
      1 zazdrość	artystyczne
      1 zaprojektowanie	plakatu
      1 zaprezentować	artystyczne
      1 zamościa	zduńskiej
      1 zagłębia	w
