     11 to	grzech
     10 kościoła	katolickiego
      8 w	literaturze
      8 harry	potter
      8 harry	ego
      8 ego	pottera
      7 się	do
      7 przez	kościół
      7 kościół	katolicki
      6 harrym	potterze
      5 o	harrym
      5 od	praktyk
      4 praktyk	okultystycznych
      4 praktyki	ezoteryczne
      4 potępianych	przez
      4 magii	i
      4 magia	w
      4 literaturze	dziecięcej
      4 kościół	o
      4 grzech	kościół
      4 fikcyjna	magia
      4 a	nie
      3 w	świecie
      3 w	praktyce
      3 w	powieściach
