      2 z	narnii
      2 zaznaczone	są
      2 wyślij	formularz
      2 też	jestem
      2 są	obowiązkowe
      2 pytania	1
      2 pola	zaznaczone
      2 odśwież	obrazek
      2 obrazek	wyślij
      2 nie	jest
      2 książki	fantasy
      2 komentowane	pytania
      1 żywych	wprawdzie
      1 życia	piszesz
      1 z	własną
      1 związku	z
      1 z	udzielonymi
      1 z	tym
      1 z	pozycji
      1 zobacz	komentarze
      1 z	naszą
      1 znam	ludzi
      1 złych	orków
      1 złem	uosabianym
      1 zle	cele
