      6 east	news
      5 grzechów	głównych
      4 Żaneta	gotowalska
      4 w	tym
      4 udostępnij	artykuł
      4 się	w
      4 prawa	i
      4 paweł	korzeniowski
      4 i	sprawiedliwości
      3 za	grzechy
      3 to	co
      3 o	tym
      3 nie	zapomnimy
      3 list	do
      3 antoniego	macierewicza
      3 7	grzechów
      2 z	wojskiem
      2 zwierzętom	podczas
      2 z	udziałem
      2 z	senegalu
      2 że	to
      2 żal	za
      2 zakonnicy	na
      2 zakaz	muzyki
      2 za	grzech
