     10 w	biznesie
      6 z	zagranicznymi
      6 w	kulturach
      6 podejście	do
      6 o	więcej
      6 międzykulturowa	w
      6 komunikacja	międzykulturowa
      5 zagranicznymi	partnerami
      5 więcej	o
      4 takich	jak
      4 strategii	biznesowej
      4 środowisku	biznesowym
      4 się	na
      4 różnic	kulturowych
      4 różnice	kulturowe
      4 partnerów	biznesowych
      4 partnerami	biznesowymi
      4 kulturowe	grzechy
      4 komunikacji	międzykulturowej
      4 grzechy	główne
      3 wysokiego	kontekstu
      3 w	tym
      3 współpracy	z
      3 w	siebie
      3 wpływa	na
