     10 jest	grzechem
      9 nie	jest
      6 planowania	rodziny
      6 kiedy	antykoncepcja
      6 antykoncepcja	nie
      5 nauczanie	kościoła
      4 się	na
      4 podkreśla	że
      4 naucza	że
      4 naturalne	metody
      4 może	być
      4 grudnia	2025
      4 2025	0
      4 0	komentarze
      3 zgodne	z
      3 stosowania	antykoncepcji
      3 redakcja	legolas
      3 przez	redakcja
      3 moralnie	dopuszczalne
      3 metody	planowania
      3 kościół	nie
      3 kościół	naucza
      3 kościoła	i
      3 jeśli	ktoś
      3 i	wyjątki
