     14 sztuki	sakralnej
     10 sztuka	sakralna
      9 por	kl
      8 miłosierdzia	bożego
      6 sacrosanctum	concilium
      6 brzydka	sztuka
      5 w	kontekście
      5 teologii	politycznej
      5 sztuki	kościelnej
      5 prawdy	i
      5 od	nowa
      5 katolicyzm	od
      5 jakim	jest
      5 dzieł	sztuki
      4 z	wiarą
      4 w	tym
      4 wpłać	darowiznę
      4 wiernych	i
      4 sztuka	to
      4 sztuka	jest
      4 się	do
      4 poziomu	artystycznego
      4 o	liturgii
      4 obrazu	miłosierdzia
      4 namalować	katolicyzm
