     10 z	akwinu
     10 domena	publiczna
      7 z	oresme
      6 pośród	ludzi
      6 na	zachodzie
      6 historia	bogaczy
      6 bogaczy	na
      5 wielkahistoria	wielkahistoria
      5 pt	jak
      5 ludzi	historia
      5 jak	bogowie
      5 bogowie	pośród
      4 zachodzie	wielka
      4 wielka	litera
      4 tomasz	z
      4 tomasza	z
      4 tekst	stanowi
      4 stanowi	fragment
      4 na	przykład
      4 mikołaja	z
      4 litera	2025
      4 książki	gudio
      4 gudio	alfaniego
      4 fragment	książki
      4 alfaniego	pt
