      5 śp	adama
      5 mickiewicza	do
      5 listy	śp
      5 do	pani
      5 adama	mickiewicza
      3 pani	konstancyi
      2 w	emigracyi
      2 self	data
      2 pani	konstancyilist
      2 mi	się
      2 konstancyilist	iii
      2 jan	2026
      2 gmt	setcookie
      2 feb	2026
      2 data	blob
      2 adam	mickiewicz
      2 2026	120000
      2 120000	gmt
      2 04	jan
      1 z	wioskami
      1 z	wikiźródeł
      1 ztąd	i
      1 Źródło	skany
      1 Źródło	kategoria
      1 z	projektami
