      4 wielka	improwizacja
      3 się	z
      3 konrada	w
      2 z	bogiem
      2 w	wilnie
      2 treści	wielka
      2 stan	spisu
      2 spisu	treści
      2 przełącz	stan
      2 powstania	listopadowego
      2 narodu	i
      2 monolog	konrada
      2 jan	2026
      2 gmt	setcookie
      2 feb	2026
      2 edytuj	kod
      2 edytuj	edytuj
      2 bazylianów	w
      2 2026	120000
      2 120000	gmt
      2 04	jan
      1 życia	i
      1 z	wikipedii
      1 z	rzeczywistością
      1 Źródło	kategorie
