      9 grzech	pierworodny
      5 tokarczuk	w
      5 olgi	tokarczuk
      5 grzechu	pierworodnego
      4 prawiek	i
      4 inne	czasy
      4 i	inne
      3 zmagają	się
      3 wybrany	kontekst
      3 w	warszawie
      3 w	tej
      3 w	swojej
      3 warszawie	olgi
      3 uwzględnij	również
      3 topos	grzechu
      3 swojej	odpowiedzi
      3 się	z
      3 również	wybrany
      3 profesor	andrews
      3 pierworodny	jako
      3 odpowiedzi	uwzględnij
      3 jako	część
      3 andrews	w
      2 w	świecie
      2 w	prawieku
