     10 caŁy	przedmiot
      3 xx	wiek
      2 z	brykiem
      2 zadaj	pytanie
      2 wskazówki	boga
      2 wojna	światowa
      2 sun	04
      2 strony	słońce
      2 prace	przekrojowe
      2 jan	2026
      2 ekologia	caŁy
      2 człowiek	botanika
      2 czesława	miłosza
      2 brykiem	o
      2 27	pkt
      2 04	jan
      1 żyć	w
      1 żyć	odżywiać
      1 życiu	wskazówki
      1 życia	wiecznego
      1 życia	i
      1 zwrotka	poświęcona
      1 z	własnej
      1 zwątpi	i
      1 z	podręczników
